,up_x_R,up_y_R,bottom_x_R,bottom_y_R,left_x_R,left_y_R,right_x_R,right_y_R,med_x_R,med_y_R,up_x_L,up_y_L,bottom_x_L,bottom_y_L,left_x_L,left_y_L,right_x_L,right_y_L,med_x_L,med_y_L,sum_left,sum_right,left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y
0,18.0,8.0,14.0,18.0,14.0,16.0,20.0,8.0,16.0,16.0,15.0,9.0,15.0,21.0,11.0,17.0,19.0,18.0,16.0,17.0,1039.12158203125,1062.796142578125,64.3329361702,34.9700765957,29.949276595700002,33.4487148936
1,17.0,11.0,29.0,30.0,4.0,15.0,29.0,28.0,16.0,17.0,15.0,12.0,9.0,26.0,6.0,20.0,22.0,20.0,13.0,18.0,1040.0980224609375,966.5765380859375,65.0570526316,34.9096421053,30.903789473699998,34.9096421053
2,1.0,1.0,20.0,27.0,1.0,0.0,24.0,21.0,18.0,20.0,31.0,0.0,12.0,27.0,10.0,16.0,32.0,6.0,17.0,19.0,956.8509521484375,1008.690185546875,65.2257391304,37.261773913,32.0230956522,37.261773913
3,6.0,9.0,23.0,25.0,1.0,14.0,22.0,25.0,11.0,14.0,23.0,15.0,30.0,26.0,14.0,26.0,30.0,17.0,22.0,18.0,1010.321533203125,944.298095703125,69.6807476636,39.9687476636,29.1835514019,37.563364486
4,12.0,8.0,4.0,32.0,0.0,28.0,29.0,15.0,15.0,18.0,17.0,9.0,29.0,31.0,2.0,16.0,30.0,30.0,13.0,17.0,986.2000122070312,878.1058349609375,64.13186577180001,34.2900402685,29.578953020100002,33.1380402685
5,18.0,10.0,12.0,27.0,6.0,24.0,22.0,23.0,15.0,24.0,19.0,8.0,24.0,26.0,10.0,25.0,29.0,24.0,19.0,23.0,1021.86669921875,1040.576416015625,67.46889320390001,39.4134524272,29.355961165,39.6217165049
6,11.0,18.0,12.0,19.0,7.0,19.0,10.0,18.0,8.5,19.0,17.0,18.0,20.0,17.0,21.0,17.0,19.0,17.0,20.0,17.0,1085.00390625,1080.929443359375,65.80288,34.7552,27.47584,36.1856
7,12.0,12.0,24.0,27.0,8.0,24.0,26.0,22.0,16.0,21.0,30.0,1.0,17.0,24.0,9.0,12.0,32.0,16.0,16.0,18.0,995.8627319335938,1000.5921630859375,64.1212307692,36.7403076923,29.4689230769,38.3901538462
8,5.0,7.0,29.0,23.0,1.0,10.0,30.0,17.0,12.0,19.0,2.0,17.0,11.0,23.0,2.0,20.0,23.0,20.0,16.0,20.0,1055.10595703125,1013.7333374023438,65.2301886792,34.3426415094,28.8027169811,33.9378113208
9,17.0,11.0,23.0,25.0,7.0,24.0,23.0,23.0,15.5,22.0,13.0,12.0,18.0,26.0,11.0,12.0,26.0,13.0,18.0,22.0,1005.8549194335938,1001.7293701171875,66.7376,39.8864,30.2704,38.8144
